RANKING,OWNERNAME,OWNERID,CHAMPIONSHIPTYPE,LEADINGEARNERHORSE,TOTALOWNERCHAMPIONSHIPWINS,TOTALOWNERCHAMPIONSHIPSRUNS,TOTALOWNERPRIZEMONEYWON
1462,"Bernard Hoggarth Racing",1129596,FLAT,"Le Beau Garcon (GB)",0,7,8353.22
1463,"Mr John E Rose & Manor Farm Stud",1145719,FLAT,"Serenading (GB)",0,5,8351.00
1464,"The Attwater Partnership",964287,FLAT,"My Joker (IRE)",0,16,8338.22
1465,"Mr J Raybould & Mr S Perkins",1116788,FLAT,"Glory Hallelujah (IRE)",2,7,8337.40
1466,"Mr I. J. Jardine",544986,FLAT,"Aconcagua Mountain (IRE)",1,15,8332.56
1468,"Grange Park RacingXVII",1134570,FLAT,"Liberty Breeze (GB)",2,6,8323.52
1469,"R. Bellamy",1054030,FLAT,"Night Bear (GB)",1,7,8322.74
1470,"Fred Archer Racing - Peeping Tom",1161252,FLAT,"Libertus (GB)",1,5,8313.15
1472,"Hey Ho",1170442,FLAT,"Shake A Leg (IRE)",1,4,8298.92
1473,"Mr S A Heley & Partner",1112335,FLAT,"Spirit of Applause (GB)",0,5,8298.35
1474,"Mr K. Dasmal, Mr A Rix, Mr R Penney",1163019,FLAT,"Angle Land (GB)",1,7,8293.26
1475,"Mr Timothy J. Rooney",522075,FLAT,"North Lincoln (IRE)",0,7,8289.45
1476,"Mr S. W. Banks",1112047,FLAT,"Evolicatt (GB)",1,8,8283.55
1477,"Kennet Valley Thoroughbreds XIV",1138521,FLAT,"Chartwell House (IRE)",1,5,8280.24
1479,"Power Brothers",1155984,FLAT,"King Crimson (GB)",1,8,8271.01
1481,"Mrs B. Berresford",1027468,FLAT,"Han Solo Berger (IRE)",1,9,8232.43
1482,"Horniwinks Racing Syndicate",1162024,FLAT,"Devon Envoy (GB)",2,5,8227.00
1484,"Zacava Racing",1163197,FLAT,"Harrogate (IRE)",2,8,8219.46
1485,"Dunham Trading Ltd",1074063,FLAT,"Challet (IRE)",0,6,8213.92
1486,"Mrs Sue Teal",564352,FLAT,"Panama (GB)",1,3,8203.44
1487,"RedHotGardogs & Alan & David Fairhurst",1170209,FLAT,"Willing To Please (GB)",1,6,8197.91
1488,"Trish & Colin Fletcher-Hall",1101758,FLAT,"Zulu Girl (GB)",1,9,8180.69
1489,"M Webber, M T Ward & Schiff Family",1153291,FLAT,"Farasi Lane (IRE)",0,7,8176.00
1490,"Chelsea Banham Pre Training Ltd",1131916,FLAT,"Independence Day (IRE)",1,18,8154.17
1491,Kestonracingclub,1124265,FLAT,"Moel Arthur (USA)",0,12,8146.62
1492,"Ceffyl Racing",948173,FLAT,"Castan (GB)",1,7,8146.12
1493,"Mr M. Ng",23437,FLAT,"Tilsworth Ony Ta (GB)",1,20,8131.33
1495,"Mr M C Morris and Partner",1172580,FLAT,"Notions (IRE)",1,1,8100.00
1498,"REALITY PARTNERSHIPS XVI",1137601,FLAT,"Wade's Magic (GB)",1,8,8097.36
1499,"Katherine Stewart & Alison Jackson",1167357,FLAT,"Glen Cove (IRE)",2,5,8083.16
1500,"The Up For Anything Syndicate",1096453,FLAT,"Let Her Loose (IRE)",2,5,8082.28
1501,"Middleham Park Racing XIX & Partner 1",1158689,FLAT,"End Zone (GB)",1,9,8070.76
1503,"The Sultans of Speed",867283,FLAT,"Smokey Malone (GB)",1,6,8061.77
1504,"The Marquess of Zetland",508980,FLAT,"Lerwick (GB)",0,7,8053.31
1506,"Amo Racing Limited & P Waney",1168196,FLAT,"Go Bears Go (IRE)",0,9,8027.96
1507,"Mr F. Gillespie",563724,FLAT,"Kalahari Prince (IRE)",0,28,8022.14
1508,"The Weston Super Mares",1156559,FLAT,"Asad (IRE)",0,5,8017.20
1509,"The Wild Rovers",1150234,FLAT,"Miss Nay Never (IRE)",1,6,8013.49
1510,"Highclere T'Bred Racing - Broadspear",1161005,FLAT,"Broadspear (GB)",0,4,7973.73
1511,"Promenade Bloodstock Limited",1067245,FLAT,"Al Hitmi (GB)",0,17,7967.00
1512,"Ebury Racing 6",1162264,FLAT,"Great Ambassador (GB)",0,4,7966.20
1513,"Dethrone Racing",1089998,FLAT,"Sonairt (FR)",2,2,7964.46
1514,"The Gorijeb Partnership",1150641,FLAT,"First Greyed (IRE)",1,7,7958.81
1515,"D P Van Der Hoeven & D G Pryde",1112608,FLAT,"Maybe Even Never (GB)",0,8,7944.50
1516,"Mr Allan McLuckie",517614,FLAT,"Merricourt (IRE)",0,5,7935.45
1517,"Andrew Bell and Michael Wright",1144530,FLAT,"Junoesque (GB)",1,15,7926.13
1518,"Ebury Racing 7",1169960,FLAT,"Above It All (IRE)",1,6,7914.75
1519,"Mr A. Potts",530777,FLAT,"Love Dreams (IRE)",1,7,7911.82
1521,"Mr & Mrs John Kelsey-Fry",1033703,FLAT,"Captain Howse (IRE)",1,6,7908.75
1522,"Regents Consulting",1152359,FLAT,"Moon de Vega (GB)",0,5,7906.00
1524,"Mr John Henwood & Partner",1143980,FLAT,"Myriad (IRE)",1,6,7899.93
1525,"Mr Darren Croot",1142697,FLAT,"Healing Power (GB)",1,5,7896.93
1526,"Mr Roberto Favarulo",782511,FLAT,"Total Lockdown (GB)",1,9,7895.46
1527,"Top Hat and Tails",1140608,FLAT,"Divina Grace (IRE)",1,4,7894.86
1528,"Mr Ismail Mohammed",1050872,FLAT,"Gliding Bay (GB)",1,14,7889.92
1529,"Mrs Christine Barron",561390,FLAT,"Willard Creek (GB)",1,7,7886.70
1532,"Mr Mike Francis",1069182,FLAT,"Henry The Fifth (IRE)",1,10,7883.68
1534,"Hot To Trot Racing and D B Clark",1161046,FLAT,"Mille Miglia (GB)",1,6,7879.06
1535,"Sharron & Robert Colvin",1069079,FLAT,"Overhaugh Street (GB)",1,7,7877.08
1537,"Middleham Park Racing XXVII",865491,FLAT,"Red Bond (IRE)",1,5,7858.74
1538,"Bighouse Synd., J Rosier & C Rosier",1162980,FLAT,"The Turpinator (IRE)",1,5,7851.00
1540,"Seymour Bloodstock & Mark Balnaves",1164501,FLAT,"Boonie (IRE)",0,3,7834.60
1541,"The Tripletto Partnership and Partner",1164250,FLAT,"Thebeautifulgame (GB)",0,4,7834.16
1542,"The Judges & Partner",1128689,FLAT,"High And Wide (IRE)",0,12,7814.07
1543,"Mr S. Rain",1163364,FLAT,"Mrs Bagerran (IRE)",1,14,7812.96
1544,"Mr A. Quirke & Mrs G. B. Walford",1120325,FLAT,"Bit of A Quirke (GB)",1,7,7811.28
1545,"J. Sullivan, W. Salthouse",1163695,FLAT,"Bosh (IRE)",0,4,7810.73
1547,"The Storm Again Syndicate",712790,FLAT,"Elsaab (GB)",1,11,7792.86
1550,"Kennet Valley Thoroughbreds IX",1074015,FLAT,"Fast Forward (FR)",2,4,7771.71
1551,"Grange Park Racing Club & HR",1160316,FLAT,"True Blue Moon (IRE)",1,7,7759.58
1553,"Mr Steven Rocco",1152351,FLAT,"Loquace (IRE)",1,7,7753.08
1555,"Mr T. G. Leslie",810712,FLAT,"Chuvelo (IRE)",1,6,7752.26
1556,"In The Mix Racing",1153835,FLAT,"Under The Twilight (GB)",1,9,7751.12
1557,"Killarney Glen",816493,FLAT,"Taravara (IRE)",0,7,7742.55
1558,"Thoroughbred Homes Ltd",998696,FLAT,"Elixsoft (IRE)",1,10,7736.21
1561,"Dr M Voikhansky & Mrs S Voikhanskaya",1167008,FLAT,"Thermal (IRE)",2,10,7720.41
1563,"Stuart McPhee and Paul Webster",1169629,FLAT,"Rita Rana (IRE)",1,8,7704.72
1564,"The Maltese Falconers",1165374,FLAT,"Samuel Spade (GER)",1,5,7702.65
1565,"Mr G. Kennington",764501,FLAT,"Star of Valour (IRE)",0,6,7700.63
1566,"Sandfield Racing",1042112,FLAT,"Dr Rio (FR)",1,7,7694.58
1567,"Insignia Racing (Stripe)",1169378,FLAT,"What A Dude (IRE)",1,6,7688.68
1568,"K Hardy & R Fell",1140312,FLAT,"Cockalorum (IRE)",0,9,7685.00
1569,"Mr Aidan J. Ryan",560772,FLAT,"Monsieur Lambrays (GB)",0,10,7680.60
1571,"SDB Partnership",1171197,FLAT,"Emperor Caradoc (FR)",1,7,7678.65
1572,"Mr G. E. Dudfield",500556,FLAT,"Jive King (GB)",1,4,7677.30
1574,"Hambleton Racing Ltd XXXVII & Partner",1163740,FLAT,"Manitou (IRE)",1,8,7666.20
1576,"Jacobs Construction (Holdings) Limited",1017788,FLAT,"Toronado Grey (GB)",1,5,7661.52
1577,"Whitcoombe Park Racing",757206,FLAT,"Uffington (GB)",0,9,7650.01
1578,"Middleham Park Racing CI & Mrs E Burke",1162071,FLAT,"Tothenines (IRE)",1,6,7636.65
1579,"Mr Peter Taplin & Partner",1120233,FLAT,"Desperate Hero (GB)",1,4,7635.04
1580,"Khalifa Dasmal & Partners",1112791,FLAT,"Fulfilled (GB)",1,6,7634.42
1581,"Barraston Racing & Mr J S Goldie",1152660,FLAT,"Classy Al (GB)",1,7,7616.12
1583,"G. B. Turnbull Ltd",524003,FLAT,"Wasdale (GB)",1,9,7607.35
1584,"Keep Kicking Racing & Partner",1171829,FLAT,"Almodovar Del Rio (IRE)",1,11,7607.27
1585,"The Eight of Diamonds",937293,FLAT,"Oh It's Saucepot (GB)",1,10,7593.87
1586,"Luther Lives On",1158510,FLAT,"Ellie Piper (GB)",1,5,7581.51
1587,"Mr R. Barney",1161469,FLAT,"Enough Already (GB)",1,7,7579.89
1588,"Mr Chester Bosomworth",710805,FLAT,"Oasis Prince (GB)",1,6,7579.38
1590,"Mr Peter Spiller",891889,FLAT,"Victoria Grove (GB)",1,8,7563.16
1591,"Carmel Stud",870373,FLAT,"Top Secret (GB)",0,11,7563.14
1592,"Mr Edward Foster",1128919,FLAT,"Eagle Eyed Freddie (GB)",2,4,7561.52
1593,"Mr Paul George",796002,FLAT,"Accrington Stanley (GB)",1,8,7554.49
1594,"The Old Deer Racing Partnership",1173978,FLAT,"Secret Handsheikh (GB)",1,8,7544.88
1595,"K&J Bloodstock Ltd",1104100,FLAT,"Manaslu (IRE)",1,8,7540.70
1596,"The Rebelle Boys",1117424,FLAT,"De Vegas Kid (IRE)",1,6,7540.59
1597,"Galloping On The South Downs & A Palmer",1166125,FLAT,"Dream Show (GB)",1,4,7536.25
1598,"Mr R. Winning",1168757,FLAT,"Streamline (GB)",0,12,7534.56
1599,"The Circle of five",1177116,FLAT,"Thapa VC (IRE)",1,6,7518.90
1600,"Ontoawinner 9 & Partner 3",1151751,FLAT,"Liangel Hope (IRE)",1,6,7508.59
1601,"The Adjudicators",1168629,FLAT,"Adjudicator (IRE)",1,4,7501.18
1602,"Mr John Brown",975311,FLAT,"Glittering Choice (GB)",1,5,7486.40
1603,"A. Whillans, W. Orr, C Spark, J Wright",1155752,FLAT,"Desert Quest (IRE)",2,4,7482.00
1605,"The Fatalists",911682,FLAT,"Saisons d'Or (IRE)",1,12,7477.93
1607,"Mr Colin Alton & Mr P. T. Midgley",1120616,FLAT,"Enderman (GB)",0,7,7474.37
1610,"Iain Jardine Racing Club",1140291,FLAT,"Mintnthat (GB)",1,17,7463.99
1611,"Mr Nicholas Jones",554462,FLAT,"Good Gracious (GB)",0,5,7453.26
1612,"Middleham Park Racing LXXVI",1074230,FLAT,"Howzer Black (IRE)",0,2,7452.90
1613,"Exors of the late Mr George Bhatti",1072085,FLAT,"Micks Dream (GB)",1,3,7439.40
1614,"J & A Young (Leicester) Ltd",741556,FLAT,"In The Breeze (IRE)",0,9,7435.15
1615,"Ridge House Stables Ltd",906228,FLAT,"Thegreyvtrain (GB)",0,20,7434.79
1616,"Mr A. Melville",1074595,FLAT,"Stoney Lane (GB)",1,6,7433.11
1617,"Teme Valley",1166250,FLAT,"Tranquil Lady (IRE)",0,2,7425.00
1618,"Mr Amedeo Dal Pos",1061655,FLAT,"Mighty Mind (GB)",1,5,7418.95
1619,"The Mr Beaufort Syndicate",1163650,FLAT,"Mr Beaufort (GB)",1,3,7418.76
1620,"Mr Mervyn Ayers",503744,FLAT,"Chiefofchiefs (GB)",0,7,7418.64
1621,"The French Connection",1168972,FLAT,"Skycutter (FR)",0,6,7403.20
1622,"Mr Saeed Jaber",793631,FLAT,"Majestic Fighter (IRE)",0,6,7403.16
1623,"Deva Racing (DB)",1168697,FLAT,"Devasboy (GB)",1,6,7392.12
1624,"Southbank Racing, S Hull & S Hollings",1082467,FLAT,"Rocket Dancer (GB)",2,6,7384.06
1625,"Mr Robert Johnson",1161937,FLAT,"Land of Eagles (GB)",1,5,7379.06
1626,"Mrs Muriel Forward & Dr G C Forward",1058629,FLAT,"Gert Lush (IRE)",1,9,7368.79
1627,"Mrs Diane Ellison",963430,FLAT,"Essme (GB)",1,8,7359.98
1628,"The Piranha Partnership",887488,FLAT,"Angels Landing (IRE)",0,6,7349.25
1629,"Mr P. D. Evans",500620,FLAT,"On The Pulse (IRE)",2,5,7347.76
1630,"The Strattonites",1148794,FLAT,"Rose Bandit (IRE)",0,26,7344.84
1631,"Mrs L. Hunt",1145055,FLAT,"Thunderoad (GB)",2,3,7344.00
1632,"Mr D. A. Olver",1100774,FLAT,"D Day Odette (GB)",0,7,7342.55
1633,"The Multifruit Syndicate",1152047,FLAT,"On The River (GB)",1,6,7340.58
1634,"Mr David Hicken",1079008,FLAT,"Richard P Smith (IRE)",0,7,7339.17
1635,"The Old Etonian Racing Syndicate II",1112003,FLAT,"Queen's Eyot (GB)",1,8,7335.51
1636,"Lynn Siddall Memorial Syndicate",1173114,FLAT,"Astrophysics (GB)",1,5,7330.82
1637,"Tick Tock Partnership",855395,FLAT,"Kaif (IRE)",1,5,7318.26
1638,"Mr Michael Moses & Mr Terry Moses",1036270,FLAT,"Sir Titus (IRE)",0,6,7315.15
1639,"The Out Of Puff Partnership",1136860,FLAT,"Catch My Breath (GB)",1,10,7297.23
1640,"The Rising Sun Racing",1177496,FLAT,"Eagle One (GB)",0,5,7288.47
1641,"MIDEST 1",1099586,FLAT,"Thrave (GB)",0,11,7270.36
1642,"Hambleton Racing Ltd XLV & Partner",1163743,FLAT,"Cotai Star (IRE)",1,5,7253.58
1644,"Lady O'Reilly",511941,FLAT,"Latifolia (IRE)",0,3,7251.00
1645,"Mr Martin Clarke & Partner",1172863,FLAT,"Income (IRE)",1,6,7249.60
1646,"Mrs L. J. Mongan",712499,FLAT,"Blairlogie (GB)",1,9,7235.19
1647,"Mr F. Butler",832528,FLAT,"Farhh To Shy (GB)",1,3,7235.00
1648,"Ryedale Partners No 4",804850,FLAT,"Lost My Sock (IRE)",1,8,7233.37
1649,"Harbour Rose Partnership",1117880,FLAT,"Bamboo Bay (IRE)",1,9,7233.11
1650,"Mr D. A. Poole",509627,FLAT,"Alyara (GB)",1,6,7220.52
1652,"The Win Or Booze Racing Syndicate",1136380,FLAT,"Nigg Bay (IRE)",1,13,7206.86
1653,"Mr D. Mead",955851,FLAT,"Tazaman (GB)",1,5,7204.27
1654,"Miss Vanessa Church",1120592,FLAT,"Magical Effect (IRE)",1,7,7195.68
1656,"Nick Bradley Racing 48",1101232,FLAT,"Hellomydarlin (IRE)",0,6,7186.00
1657,"Crowd Racing Partnership",1082421,FLAT,"One of Our Own (GB)",0,10,7149.49
1658,"Mr Ryder Sugden",1128690,FLAT,"Piecederesistance (IRE)",0,3,7123.87
1660,"Ne'er Do Wells VII",1161323,FLAT,"Omniscient (GB)",1,5,7106.81
1663,"Edwards Harland & Hitchman",1165569,FLAT,"Northbound (IRE)",1,6,7093.72
1664,"Mrs Sally Doyle and Mrs Ruth Carr",1167882,FLAT,"Copper And Five (GB)",0,9,7080.46
1665,"Simon Treacher, Robert Colvin & Partner",1116111,FLAT,"Ae Fond Kiss (GB)",1,6,7070.76
1666,"Emirates Park PTY Ltd",715013,FLAT,"Band of Steel (GB)",1,10,7055.42
1667,"Mr Jack Stephenson",1084812,FLAT,"Jack The Truth (IRE)",1,5,7050.64
1668,"Rathmoy Racing II & Mr G. C. Stevens",1163068,FLAT,"Astral Beat (IRE)",1,7,7043.67
1669,"Mrs Sallyann Cross",1159981,FLAT,"Proud Fairy (GB)",1,5,7038.40
1670,"Reality Partnerships XIII",1128522,FLAT,"Albegrey (GB)",1,6,7029.14
1671,"M Doocey, S Doocey & P J Doocey",1103736,FLAT,"Glamorous Force (GB)",1,10,7026.84
1674,"Mr K. Clarke & Partner",1161820,FLAT,"Almaan (USA)",1,6,6996.84
1675,"Mr James Kerr",808796,FLAT,"Wonder Starelzaam (IRE)",2,4,6996.00
1677,"Mr M. Duthie",604816,FLAT,"Ancient Capital (GB)",1,5,6988.89
1678,"Mr Mark Wellbelove",1037329,FLAT,"Under Curfew (GB)",0,10,6961.66
1679,"Mrs P. A. Clark",561021,FLAT,"Wheal Kitty (GB)",1,5,6958.10
1680,"Nick Bradley Racing 13,Salthouse&Partner",1168717,FLAT,"Raydoun (IRE)",1,9,6948.02
1681,"Paul Musson & Antony Brittain",1172646,FLAT,"Murbih (IRE)",0,11,6944.67
1682,"Mr Kenneth MacPherson",557561,FLAT,"Motashaweq (IRE)",1,8,6938.52
1683,"Mr Donald Kerr & Wetumpka Racing",1111853,FLAT,"Unsung Hero (IRE)",1,4,6937.07
1684,"Cornthrop Bloodstock & Mrs B Keller",1167283,FLAT,"Breaking Light (FR)",1,3,6933.20
1686,"Rainbow Racing",1046825,FLAT,"Spring Glow (GB)",0,5,6927.50
1688,"Mr David Batten",506641,FLAT,"Beauty Choice (GB)",0,9,6926.08
1689,"Lady Whent",534870,FLAT,"Wiley Post (GB)",1,6,6923.02
1690,"Lee Bond & Robert Matheson",1167013,FLAT,"Al Qaasim (IRE)",1,4,6922.34
1691,"Hard Held Partnership and Angus Racing",1167677,FLAT,"Hurstwood (GB)",2,4,6912.00
1693,"Shewring, Patterson, Joyce, Jolley",1121370,FLAT,"Arnold (GB)",1,8,6903.99
1694,"DJT Racing & Partner",1164649,FLAT,"Neandra (GER)",1,3,6902.80
1695,"J A Thompson & S Russell",1160625,FLAT,"Pistoletto (USA)",0,11,6900.80
1696,"Musselburgh Lunch Club",1128539,FLAT,"The Gay Blade (GB)",1,9,6896.60
1698,"Mr Allan McLuckie & Mr M. J. K. Dods",1120232,FLAT,"Arch Moon (GB)",1,4,6878.08
1703,"Amy Murphy Racing Club",1111847,FLAT,"Marie Paradis (IRE)",1,11,6828.62
1704,"Steve Shine LS and Ben Pay",1162206,FLAT,"On The Nose (GB)",1,7,6827.66
1705,"Mr W. H. Carson",521243,FLAT,"Gainsbourg (GB)",1,8,6816.00
1706,"Mr Gordon Li",767852,FLAT,"Rocket Yogi (IRE)",1,5,6815.16
1707,"The Golfers",1167845,FLAT,"Bugle Major (USA)",0,5,6811.22
1708,"URSA Major Racing & Partner",1128915,FLAT,"Ghadbbaan (GB)",0,9,6804.88
1710,"Williams, Campbell, Sennett & Cole",1167225,FLAT,"Ernie's Valentine (GB)",0,3,6800.00
1711,"Quickly Group Holdings Ltd & Partner",1140650,FLAT,"Reclaim Victory (IRE)",1,6,6781.49
1712,"Castle View Racing",1100570,FLAT,"Clear Angel (GB)",1,4,6770.25
1713,"Mr Salem Rashid Bin Ghadayer",998226,FLAT,"Bin Hayyan (IRE)",0,18,6753.83
1715,"Patrick F. Kehoe/Mrs.P.Crampton",1158612,FLAT,"Princess Zoe (GER)",0,2,6750.00
1716,"Mr E. R. Griffiths",724349,FLAT,"Girlswannahavefun (GB)",1,11,6742.55
1720,"Howses Stud",954084,FLAT,"Beggarman (GB)",1,5,6720.08
1721,"Mrs Jo Brisland",720402,FLAT,"Coolagh Magic (GB)",0,23,6710.79
1723,"Partick Partnership",1163535,FLAT,"Lady Lade (GB)",0,8,6698.04
1724,"Middleham Park Racing CIV, Cole & Deacon",1168975,FLAT,"Leap Abroad (IRE)",1,1,6696.00
1726,"Mr G Johnson & Mr J W Parry",1110316,FLAT,"Akkeringa (GB)",1,5,6696.00
1727,"Mr J Blackburn & Partner",1160195,FLAT,"Yeeeaah (IRE)",0,9,6689.98
1728,"Mr Zavier Austin",1151273,FLAT,"Million Reasons (IRE)",1,7,6685.86
1729,"L & M Atkins",1077002,FLAT,"Jenson Benson (IRE)",1,3,6685.62
1731,"Jp Racing Club Limited",1172896,FLAT,"The Menstone Gem (IRE)",1,4,6664.92
1732,"Silastar Racing Syndicate",1171060,FLAT,"Silastar (GB)",1,6,6657.78
1733,"Mr Ahmad Bintouq",1129475,FLAT,"Minwah (USA)",0,8,6652.44
1734,"Mr J. Ponting",1014141,FLAT,"Al Gaiya (FR)",1,4,6650.07
1736,"The Nigel Bennett Partnership",1099305,FLAT,"Due A Rum (GB)",1,9,6642.20
1737,"Mr james Marshall & Freya Marshall",1066612,FLAT,"Tiberio Force (GB)",1,14,6632.66
1738,"Mrs Brenda Karn-Smith",1004261,FLAT,"Sir Joseph Swan (GB)",1,7,6624.86
1739,"Mr M Grayson & Mr L Westwood",1157091,FLAT,"Eligible (IRE)",1,8,6622.86
1743,"Mr G. Morrill",793123,FLAT,"Time Shadow (IRE)",0,11,6594.89
1744,"Earl of Ronaldshay",511512,FLAT,"Noonie (GB)",0,5,6591.48
1745,"Carol Bushnell & Partners",969355,FLAT,"Hurricane Kiko (IRE)",1,3,6590.46
1746,"St Albans Bloodstock Ltd & Partners",1101880,FLAT,"Nusa Dua (GB)",1,3,6589.51
1747,"The Champagne Poppers",1137092,FLAT,"Torious (GB)",1,7,6586.65
1748,"Mrs Jane Newett",1032609,FLAT,"Miss Dynamic (GB)",1,7,6584.08
1749,"Debbie Hodson",702948,FLAT,"Pepsi Cat (IRE)",1,4,6577.50
1750,"Mr David Henery",865479,FLAT,"Amathus (IRE)",1,16,6576.42
1751,"Mrs Ailsa Stirling",1020472,FLAT,"Quanah (IRE)",1,6,6571.77
1752,"Bright Sapphire Syndicate",1148207,FLAT,"Reverend Hubert (IRE)",1,5,6562.99
1756,"Car Colston Hall Stud",712363,FLAT,"Strength 'n Honour (GB)",1,3,6531.00
1757,"Hamad Ebrahim",1140447,FLAT,"Tribal Hunter (IRE)",1,3,6529.80
1758,"Ms M. Austerfield",956081,FLAT,"Zumurud (IRE)",1,9,6527.18
1759,"Ms A. Quinn",1045054,FLAT,"Seeola (GB)",1,4,6526.76
1761,"The Audax Partnership",1161192,FLAT,"Postmark (GB)",1,5,6519.98
1763,"Franconson Partners",826048,FLAT,"Shirbo (GB)",0,18,6506.52
1764,"Keep The Faith Partnership",987102,FLAT,"Anjo Bonita (GB)",0,11,6505.81
1765,"Miss Down Under Partnership",1074958,FLAT,"Miss Down Under (IRE)",1,5,6500.20
1766,"The Go Betweeners",1167270,FLAT,"Luna Queen (GB)",1,7,6498.60
1767,"Middleham Park Racing LXXIV & Partner 2",1158740,FLAT,"Amalfi Salsa (IRE)",1,8,6483.40
1770,"Dr Anne J. F. Gillespie",537483,FLAT,"Moonlit Cloud (GB)",1,5,6472.55
1771,"Mr Malcolm Wright&Ridgehouse Stables Ltd",1167490,FLAT,"Fair And Square (GB)",0,9,6465.00
1772,"Mr John Joseph Smith",772371,FLAT,"La Rav (IRE)",0,15,6464.22
1774,"Hunscote Stud Ltd & John O'Connor",1157852,FLAT,"Crema Inglesa (IRE)",0,5,6440.00
1775,"Mount Pleasant Racing & Partner",1150219,FLAT,"Spantik (GB)",0,6,6439.22
1776,"Dun Lee and Charlie Fellowes",1163601,FLAT,"Vanity Affair (IRE)",0,3,6438.90
1779,"Mount Pleasant Racing",1116560,FLAT,"Gullane One (IRE)",1,9,6432.72
1780,"C R Hirst & Dougie Livingston",1168926,FLAT,"Military Two Step (FR)",1,1,6426.00
1781,"Sarabex and Aragon Racing",1154235,FLAT,"Ziggy (GB)",1,1,6426.00
1782,"John and Peter Seabrook",1158588,FLAT,"Lelabad (GB)",0,9,6423.10
1784,"Quantum Leap Racing XIV & Partner",1165034,FLAT,"Speycaster (GB)",0,3,6417.50
1785,"Mrs C. A. Arnold",801647,FLAT,"The Armed Man (GB)",1,5,6411.90
1788,"Mrs Patricia Hunt",722955,FLAT,"Layfayette (IRE)",0,1,6395.48
1789,"Mr J Sagar and Mr M Dods",1126831,FLAT,"Billy No Mates (IRE)",1,2,6394.72
1790,"Mr J. M. Wall",994032,FLAT,"Gold Standard (IRE)",0,12,6390.89
1791,"Sun Bloodstock Racing Limited",1152475,FLAT,"Nanga Parbat (GB)",0,4,6388.71
1793,"Mr J. W. Hazeldean",700450,FLAT,"Bouncing Bobby (IRE)",0,6,6357.64
1794,"Mrs J. Porter",534330,FLAT,"Tommaso (IRE)",0,7,6351.06
1797,"Dr R. Lambe/Dr J Climax",1158616,FLAT,"Falcon Eight (IRE)",0,1,6340.00
1799,"Mr Brian Chambers",513866,FLAT,"Slate Cracker (GB)",0,8,6334.30
1800,"Mrs Janis MacPherson",507485,FLAT,"Monica (GB)",1,9,6330.10
1801,"Mr Ian Furlong & Partner",1161383,FLAT,"Second Collection (GB)",1,6,6327.92
1805,"David Lumley & Prtnr",1139339,FLAT,"Stripzee (GB)",1,12,6295.23
1807,"Curry House Corner",1047227,FLAT,"Sapphire's Moon (GB)",1,10,6287.62
1808,"Mr M. Almutairi",1143503,FLAT,"Mashkuur (IRE)",0,7,6287.32
1811,"Mr Robin Mathew",521096,FLAT,"Haughty (GB)",0,8,6274.47
1812,"Middleham Park Racing L",965485,FLAT,"Yagan (IRE)",1,4,6274.14
1813,"Mrs Linsey Pallas & Mrs Claire Ellison",1164586,FLAT,"Little Emma Loulou (GB)",1,8,6272.76
1815,"Ontoawinner 14 & Mrs E Burke",1088204,FLAT,"Camila Vargas (IRE)",1,7,6251.51
1816,"Lamprell Roofing Ltd",1158409,FLAT,"Big Time Maybe (IRE)",1,6,6242.98
1817,"Mr Stuart Murray",1083461,FLAT,"Dirchill (IRE)",1,6,6232.34
1818,"Ann Black & Partner",1158565,FLAT,"Fangorn (GB)",1,8,6231.12
1819,"Mps Racing Ltd",1140137,FLAT,"Selfish Brian (IRE)",1,6,6225.82
1820,Toytown,1146126,FLAT,"Wrecked It Ralph (GB)",1,6,6221.62
1821,"Blue Lion Racing IX",1029838,FLAT,"Lord Caprio (IRE)",1,5,6218.40
1822,"S J Edwards & A G Ash",1168750,FLAT,"Destiny's Spirit (GB)",1,6,6212.61
1823,"Howard Duff Racing",1149269,FLAT,"Georgia Madeleine (IRE)",1,16,6211.78
1824,"Middleham Park Racing XCII",1075328,FLAT,"Nolton Cross (IRE)",0,5,6211.20
1826,"E. H. Jones (Paints) Ltd",522326,FLAT,"Red Walls (GB)",0,15,6195.92
1827,"Mr Peter Timmins",783818,FLAT,"Strike Red (IRE)",0,9,6194.80
1828,H.McCalmont/HLascelles/HamishMcCalmont,1168465,FLAT,"Climate (IRE)",0,2,6164.00
1829,"Eagle Racing",1103936,FLAT,"Proud Archi (IRE)",1,7,6162.10
1830,"Mr S Bishop and Mr C Mason",1133915,FLAT,"Gilt Edge (GB)",0,10,6161.18
1831,"Nick Bradley Racing 15 & Mrs E Burke",1163567,FLAT,"Riverside Girl (GB)",1,4,6160.14
1832,"Teme Valley & Partner",1154949,FLAT,"Devoted Poet (GB)",0,3,6160.05
1834,"Mr Paul Wright-Bevans",925930,FLAT,"Gypsy Whisper (GB)",1,5,6155.40
1835,"Mr A. Rice",822637,FLAT,"Koropick (IRE)",0,10,6150.00
1837,"Mr Brian Goodyear",783193,FLAT,"Brave Nation (IRE)",0,3,6149.00
1839,"Twiston-Davies, Mason, Greer & Kiely",1127174,FLAT,"Earlofthecotswolds (FR)",0,2,6140.00
1841,"Surrey Racing (SG)",1150416,FLAT,"Surrey Gold (IRE)",0,2,6140.00
1842,"Mr M Sawers & Miss L A Perratt",1162871,FLAT,"Burtonlodge Beauty (IRE)",1,6,6127.97
